,Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
253,CCN(CC)C(=O)C1=CN=C2C=CC=CN2C1=O,1.302,1.4660000000000002,1.3399999999999999,1.5230000000000001,1.4219999999999997,1.5819999999999999,1.541,1.693
254,CC=1C=CC(F)=C(C1)C(=O)N2CCC[C@@H]2C(=O)O,2.165,1.19,2.013,0.5050000000000001,2.287,1.27,2.292,1.2359999999999998
255,CC=1C=C(C)N(CC(=O)N2CCCCC2)N1,1.331,1.9500000000000002,1.157,1.8079999999999998,1.4020000000000001,2.017,1.5709999999999997,2.2119999999999997
256,OCC1CCCCN1CC=2C=C(C#N)C=CC2F,1.076,2.551,0.8900000000000001,2.686,1.275,2.479,1.097,2.876
257,CC(C)S(=O)(=O)NC=1C(C)=NOC1C,1.7469999999999999,1.7530000000000001,1.698,1.694,1.8769999999999998,1.876,1.858,1.8820000000000001
258,CN(C)S(=O)(=O)N1C=NC=2C=C(C)C(C)=CC12,2.9770000000000003,3.2560000000000002,2.898,3.082,2.9659999999999997,3.224,3.2510000000000003,3.447
259,CC(C)C1=CC(=NO1)C(=O)N2CCCC32CCOCC3,3.121,3.128,2.7600000000000002,2.773,3.082,3.089,3.24,3.2439999999999998
260,CC(=O)NC1(CC2CC3CC(C2)C1)C3,2.85,2.8520000000000003,2.579,2.597,2.777,2.778,3.218,3.242
261,OC(=O)[C@H]1CSC2(CCCC2)C(=O)N1,1.7930000000000001,0.8670000000000001,1.616,0.18500000000000005,1.9020000000000001,0.953,1.9219999999999997,0.9070000000000001
262,CCC1CNCC2(CCOC2)O1,0.9049999999999999,0.9800000000000001,0.3700000000000001,1.3820000000000001,0.92,1.0380000000000003,0.846,1.4929999999999999
263,C1CSC2(CCOCC2)CN1,0.795,0.973,0.45500000000000007,1.5150000000000001,0.8610000000000001,1.033,0.7900000000000001,1.1799999999999997
264,CN(C1CCNC1)C(=O)CC=2C=CC=CC2Cl,1.604,1.374,1.4180000000000001,4.301,1.7389999999999999,1.5989999999999998,1.686,2.957
265,CC(C)CN(C1CCCC=2C=CC=NC12)C(=O)N,1.387,2.442,1.173,2.351,1.528,2.4859999999999998,1.455,2.9579999999999997
266,CN1CCCC1C2CCCN2C(=O)C=3C=CNN3,0.908,0.664,0.742,2.012,1.073,0.894,0.961,1.1310000000000002
267,C1CC(CO1)NC2CCCNC=3C=CC=CC23,1.2679999999999998,1.8850000000000002,1.1340000000000001,2.878,1.4,1.9969999999999999,1.3780000000000001,2.8329999999999997
268,CC1CN(C)CCC1NC(=O)C=2C=CC=C(C)C2,1.592,1.6320000000000001,1.4100000000000001,4.115,1.6600000000000001,1.673,1.661,3.274
269,CC=1C=C(Cl)C=CC1S(=O)(=O)NC=2C=CON2,3.008,1.842,2.8810000000000002,1.099,3.097,1.9649999999999999,3.116,1.779
270,OC1(CC2CC3CC(C2)C1)C3,2.7,2.69,2.2,2.19,2.566,2.475,2.51,2.979
271,OC1CC2CCC(C1)N2,-0.04800000000000004,-0.06000000000000005,0.038000000000000034,0.5900000000000001,-0.06399999999999995,-0.05799999999999994,-0.05399999999999994,0.07000000000000006
272,CN1CCNC2(CCCCC2)C1,0.41000000000000003,0.811,0.041000000000000036,2.0140000000000002,0.42200000000000004,0.92,0.14100000000000001,1.6099999999999999
273,CN1C=C(C(=O)N2CCOCC2)C=3C=CC=CC13,2.18,2.181,2.195,2.212,2.342,2.342,2.4339999999999997,2.473
274,O=S1(=O)CCCN1CC=2C=CC=C3C=CC=NC23,1.1320000000000001,2.402,1.143,2.392,1.311,2.562,1.387,2.634
275,NC(=O)CN1CCCC1C2CCCCC2,1.4570000000000003,2.9810000000000003,1.145,3.169,1.5789999999999997,2.666,1.54,3.346
