Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
CC1CC1C(=O)NC2(CC3CC4CC(C3)C2)C4,4.479,4.483,3.997,4.001,4.416,4.41,4.695,4.709
ClC=1C=CC=CC1S(=O)(=O)N2CCOCC2,3.389,3.4,3.347,3.347,3.7,3.698,3.661,3.69
CN(C)S(=O)(=O)C=1C(C)=NNC1C,2.029,2.046,2.215,2.229,2.991,2.39,2.348,2.389
CC=1N=CSC1C(=O)NCC=2C=CC=CC2Cl,3.208,3.301,3.355,3.397,3.535,3.572,3.634,3.697
CC(NS(=O)(=O)C=1C=CC=CC1)C=2C=CC=NC2,1.944,2.746,2.038,3.058,2.252,3.106,2.18,3.153
FC=1C=CC=NC1NC(=O)C2(CCCCC2)C#N,2.992,3.04,3.01,3.031,3.294,3.312,3.301,3.345
CC(C(=O)N1CCCC(C1)C(=O)O)C2=CC=CS2,2.896,1.924,3.345,?,3.244,2.144,3.211,2.069
CC=1C=C(CN2C(=O)NC3(CCC3)C2=O)ON1,2.305,2.319,2.425,2.428,2.652,2.656,2.602,2.641
O=C(NCC=1C=CN=CC1)C=2C=CC=C(C#N)C2,1.784,2.357,1.813,2.961,2.058,2.728,2.037,2.862
CC1CCCN(CC(=O)NC=2C=CC=CC2C)C1,2.42,4.833,2.455,4.287,2.763,4.622,2.734,5.064
O=S(=O)(N1CCCC1)C=2C=CC=CC2C#N,3.328,3.341,3.383,3.381,3.715,3.718,3.616,3.66
CC=1C=CC(=CC1C(=O)N2CCCC2)S(=O)(=O)C,2.411,2.413,2.518,2.547,2.81,2.816,2.763,2.798
CC1CCN(CC1)C(=O)C(N)C=2C=CC=CC2,2.579,2.796,2.482,3.978,2.8,3.197,2.843,3.94
CC=1N=CSC1C(=O)NC2CCN3CCCCC23,1.622,1.7205,1.764,3.074,1.912,2.118,1.875,2.321
CC(NS(=O)(=O)C)C=1C=NN(C)C1C,1.442,1.805,1.595,1.972,1.831,2.115,1.849,2.153
O=C(NC1CCOC1)N2CCC3(CCC3)C2,2.62,2.629,2.716,2.722,2.915,2.918,3.112,3.122
CC(C)C=1OC=NC1C(=O)N2CCC3(CCCC3)CC2,4.646,4.668,3.963,3.971,4.491,4.493,4.906,4.922
CCN(C(=O)C=1C=CC=NC1)C=2C=CC=NC2C,1.176,2.119,1.19,2.49,1.537,2.545,1.53,2.628
COC=1C=C(C=CC1F)S(=O)(=O)N2CCCCC2,4.202,4.205,3.952,3.934,4.404,4.395,4.452,4.454
CC1CCN(CC1)S(=O)(=O)C=2C(C)=NOC2C,4.263,4.277,3.932,3.912,4.369,4.371,4.432,4.452
CC(C)(C(=O)N1CCNCC1)C=2C=CC=CC2,2.268,2.229,2.189,3.826,2.503,2.662,2.531,3.811
CC1CN(CC(C)O1)C(=O)C=2C=C(F)C=C(F)C2,3.453,3.473,3.192,3.201,3.604,3.617,3.72,3.753
NC(C(=O)N1CCCC1)C=2C=CC=CC2,1.992,2.063,1.863,2.954,2.225,2.549,2.227,2.895
CC1=CC(CS(=O)(=O)C=2C=CC=CC2)=NO1,3.086,???,3.141,???,3.461,3.478,3.383,3.427
CC1CCCCC1NS(=O)(=O)C=2C=NN(C)C2,3.34,3.412,3.296,3.384,3.585,3.593,3.649,3.687
CC(=O)NC1(CCCCCC1)C(=O)O,2.342,1.488,1.856,.806*,2.601,1.736,2.678,1.715
CCC1CCCCN1C(=O)C=2C=CC=C(N)N2,2.299,2.869,2.229,2.822,2.549,3.146,2.576,3.374
CC1OCCCC1C(=O)N(C)C=2C=CC(Cl)=CN2,3.109,3.128,2.865,2.895,3.331,3.345,3.501,3.534
CCNS(=O)(=O)C=1C=CC(F)=C(OC)C1,3.161,3.162,3.208,3.203,3.468,3.483,3.468,3.518
CC1CC(C)CN(C1)S(=O)(=O)C=2C(C)=NOC2C,4.656,4.667,4.174,4.161*,4.653,4.656,4.781,4.801*
CNC(=O)CN(C)C1=NC=2C=CC=CC2S1,1.868,2.681,2.008,2.807,2.277,3.018,2.338,3.172
COCC(=O)NC1CCSC=2C=CC=CC12,3.227,3.228,3.201,3.197,3.528,3.532,3.617,3.619
FC(F)(F)C=1C=CC=C(C1)C(=O)N2CCOCC2,3.214,3.216,3.165,3.169,3.465,3.47,3.561,3.577
OC(=O)C1CCCN(C1)C(=O)C=2C=CC=CC2F,2.546,1.603,2.637,1.08,2.873,1.882,2.899,1.825
CC1CCC(CN2C(N)=CC(=O)NC2=O)CC1,2.776,2.765,2.98,2.974,3.047,3.049,3.218,3.244
CN1C(C(CC1=O)C(=O)O)C2=CC=CS2,2.207,1.417*,2.335,??,2.56,1.613,2.565,1.596*
CC=1C=CC=C(C(=O)N2CCC(C2)C(=O)O)C1F,2.575,1.694,2.651,1.276,2.905,1.957,2.935,1.917
OC[C@@H]1C[C@H](F)CN1CC=2C=CC(F)=C(C#N)C2,1.735,3.036,1.699,3.083,2.05,3.372,1.972,3.386
CC=1C=CC(=CC1C)S(=O)(=O)NC=2C=CN(C)N2,3.253,3.241,3.317,3.264,3.582,3.575,3.562,3.571
CC1=NN(CC=2C=CC=CC2Cl)C(C)=C1CO,2.593,3.066,2.724,3.066*,2.985,3.333,3.112,3.507
O=C(N1CCCC1)C2=NNC(=O)C=3C=CC=CC23,2.163,2.17,2.338,2.351,2.519,2.524,2.544,2.562
O=C1NC(=O)C2(CN3CCC2CC3)N1,0.748,1.237*,0.761,1.492,1.014,1.474,0.958,1.335
CC(NC(=O)C1CCCO1)C=2C=C(C)SC2C,3.726,3.726,3.485,3.493,3.862,3.866,4.069,4.079
NC(=O)C1CCCN(CC=2C=CC(F)=CC2Cl)C1,1.983,3.324,1.842,3.487,2.322,3.55,2.298,3.932
CN(C1CC1)C(=O)C2CC32CCNCC3,1.659,1.361,1.41,2.428,1.895,1.764,1.916,2.089
O=S(=O)(N1CCCCC1)C=2C=NNC2,2.521,2.53,2.568,2.965,2.88,2.892,2.855,2.879
CCC=1C=CSC1C(=O)N2CC(C)NC(C)C2,2.095,2.642,1.928,3.34,2.841,2.918,2.365,3.377
CCC1OCCCC1C(=O)N(C)C=2C=CN(C)N2,2.568,2.577,2.513,2.546,2.833,2.848,2.946,2.948
FC=1C=CC=C(C1)S(=O)(=O)NC=2C=CC=CC2F,3.883,3.835,3.867,3.755,4.11,4.058,4.146,4.095
CC(=O)NC1(CCCC=2C=CC=CC21)C(=O)O,2.52,1.404,2.548,0.810*,2.848,1.618,2.887,1.566
CNS(=O)(=O)C=1C=CC=C2C=C(C)C=NC12,2.912,3.181,3.018,3.204,3.304,3.499*,3.345,3.539
CC=1C=CC(C)=C(C1)S(=O)(=O)N2CCNC(=O)C2,2.941,2.941,3.053,3.052,3.262,3.274,3.312,3.333
CC=1C=CC(=CC1)S(=O)(=O)NC=2C=CN(C)N2,2.971,2.956,3.067,3.018,3.325,3.316,3.309,3.292
